Disease,Drugs,Supplements,SideEffects
Acne,"Benzoyl peroxide, Tretinoin","Zinc, Vitamin A","Dry skin, Irritation"
Anemia,"Ferrous sulfate, Erythropoietin","Iron, Folic acid, Vitamin B12","Nausea, Constipation"
Appendicitis,Ceftriaxone (pre-surgery),"Vitamin C, Probiotics","Allergic reaction, Diarrhea"
Asthma,"Albuterol, Fluticasone","Magnesium, Vitamin D","Tremors, Oral thrush"
Breast Cancer,"Tamoxifen, Paclitaxel","Vitamin D, Curcumin","Fatigue, Nausea"
Bronchitis,"Amoxicillin (if bacterial), Bronchodilators","Vitamin C, Echinacea","GI upset, Cough"
COVID-19,"Remdesivir, Dexamethasone","Zinc, Vitamin D","Fatigue, Loss of taste"
Cervical Cancer,"Cisplatin, Radiotherapy","Folate, Selenium","Fatigue, Nausea"
Chickenpox,Acyclovir,"Vitamin C, Zinc","Itching, Rash"
Chikungunya,"Paracetamol, Ibuprofen","Hydration, Vitamin C","Joint pain, Fever"
Chlamydia,"Azithromycin, Doxycycline",Probiotics,GI discomfort
Crohn's Disease,"Mesalamine, Infliximab","Probiotics, Omega-3","Diarrhea, Weight loss"
Dengue,Paracetamol,"Hydration, Papaya leaf extract","Bleeding, Fatigue"
Depression,"Fluoxetine, Sertraline","Omega-3, Vitamin D","Drowsiness, Sexual dysfunction"
Diabetes,"Metformin, Insulin","Magnesium, Chromium","Hypoglycemia, GI upset"
Eczema,"Hydrocortisone, Tacrolimus","Omega-3, Vitamin E","Skin thinning, Burning sensation"
Endometriosis,"Naproxen, Hormonal therapy","Omega-3, Curcumin","GI upset, Mood changes"
Epilepsy,"Valproate, Levetiracetam","Magnesium, Vitamin B6","Drowsiness, Dizziness"
Flu,Oseltamivir,"Vitamin C, Zinc","Nausea, Headache"
Gastroenteritis,"Oral rehydration, Loperamide","Probiotics, Zinc","Cramping, Nausea"
Glaucoma,"Latanoprost, Timolol",Ginkgo biloba,"Eye irritation, Blurred vision"
Gonorrhea,"Ceftriaxone, Azithromycin",Probiotics,"Nausea, Injection site pain"
HIV/AIDS,"Tenofovir, Efavirenz","Multivitamins, Zinc","Fatigue, Rash"
Heart Attack,"Aspirin, Clopidogrel","CoQ10, Omega-3","Bleeding, Dizziness"
Hepatitis B,"Entecavir, Tenofovir","Milk thistle, Vitamin E","Fatigue, Nausea"
Hypertension,"Lisinopril, Amlodipine","Potassium, Magnesium","Cough, Swelling"
Hyperthyroidism,"Methimazole, Beta blockers","Selenium, L-Carnitine","Weight loss, Palpitations"
Hypothyroidism,Levothyroxine,"Iodine, Selenium","Weight gain, Cold intolerance"
Kidney Stones,"Tamsulosin, Pain relievers","Citrate, Magnesium","Pain, Nausea"
Leukemia,"Imatinib, Chemotherapy","Vitamin D, Folate","Immunosuppression, Hair loss"
Liver Cirrhosis,"Diuretics, Lactulose","Vitamin K, Zinc","Fatigue, Confusion"
Lung Cancer,"Cisplatin, Nivolumab","Vitamin D, Curcumin","Fatigue, Nausea"
Lymphoma,"Rituximab, Chemotherapy","Folate, Vitamin B12","Hair loss, Fatigue"
Malaria,Artemether-Lumefantrine,"Iron, Folic acid","Fever, Vomiting"
Measles,"Vitamin A, Supportive care","Hydration, Zinc","Rash, Fever"
Melanoma,"Immunotherapy, Surgery",Vitamin D,"Skin irritation, Fatigue"
Migraine,"Sumatriptan, Propranolol","Magnesium, Riboflavin","Drowsiness, Nausea"
Monkeypox,"Tecovirimat, Supportive care","Vitamin C, Zinc","Lesions, Fatigue"
Multiple Sclerosis,"Interferons, Glatiramer","Vitamin D, Omega-3","Fatigue, Injection site pain"
Mumps,Supportive care,"Hydration, Vitamin C","Swelling, Fever"
Ovarian Cancer,"Carboplatin, Paclitaxel","Vitamin D, Antioxidants","Nausea, Fatigue"
PCOS,"Metformin, Birth control pills","Inositol, Vitamin D","Weight gain, GI upset"
Pancreatitis,"IV fluids, Pain relievers","Pancreatic enzymes, Vitamin A/D/E/K","Abdominal pain, Nausea"
Parkinson's Disease,"Levodopa, Carbidopa","CoQ10, Creatine","Tremor, Nausea"
Peptic Ulcer,"Omeprazole, Amoxicillin","Licorice root, Zinc carnosine","Constipation, Headache"
Piles,"Diosmin, Topical steroids","Fiber, Witch hazel","Irritation, Bleeding"
Pneumonia,"Azithromycin, Ceftriaxone","Vitamin C, Zinc","Cough, Fatigue"
Prostate Cancer,"Bicalutamide, Radiation","Lycopene, Selenium","Fatigue, Urinary issues"
Psoriasis,"Methotrexate, Biologics","Vitamin D, Omega-3","Skin irritation, Liver toxicity"
Rabies,"Rabies vaccine, Immunoglobulin",Vitamin C,Pain at injection site
Respiratory Infection,"Amoxicillin, Antihistamines","Zinc, Vitamin C","Sneezing, GI upset"
Sinusitis,"Saline spray, Amoxicillin","Vitamin C, Bromelain",Nasal irritation
Skin Infection,"Clindamycin, Mupirocin","Vitamin E, Tea tree oil","Itching, Rash"
Stroke,"Aspirin, Alteplase (tPA)","Vitamin D, CoQ10","Paralysis, Confusion"
Syphilis,Penicillin G,"Zinc, Multivitamins",Jarisch-Herxheimer reaction
Testicular Cancer,"Cisplatin, Orchiectomy","Selenium, Vitamin E","Nausea, Infertility"
Thyroid Cancer,"Levothyroxine, Radioiodine",Iodine,"Fatigue, Neck swelling"
Tuberculosis,"Rifampicin, Isoniazid","Vitamin B6, Vitamin D","Hepatotoxicity, Neuropathy"
Typhoid,"Ceftriaxone, Azithromycin","Zinc, Hydration","Diarrhea, Fever"
UTI,"Nitrofurantoin, Trimethoprim","Cranberry extract, Vitamin C","Burning, Nausea"
Ulcerative Colitis,"Mesalamine, Biologics","Probiotics, Omega-3","Diarrhea, Cramps"
Zika Virus,Supportive care,"Hydration, Vitamin C","Fever, Rash"
Fungal infection,"Fluconazole, Clotrimazole","Probiotics, Vitamin C","Itching, Redness"
Allergy,"Cetirizine, Montelukast","Quercetin, Vitamin C","Drowsiness, Dry mouth"
GERD,"Omeprazole, Ranitidine","Aloe vera, Licorice","Bloating, Headache"
Chronic cholestasis,Ursodeoxycholic acid,"Vitamin K, E","Itching, GI upset"
Drug Reaction,"Antihistamines, Corticosteroids",Vitamin C,"Rash, Fever"
Peptic ulcer disease,"Omeprazole, Clarithromycin","Zinc carnosine, Probiotics","GI upset, Headache"
AIDS,"Tenofovir, Efavirenz","Multivitamins, Zinc","Fatigue, GI issues"
Diabetes ,"Metformin, Glimepiride","Alpha-lipoic acid, Chromium","Low blood sugar, Nausea"
Bronchial Asthma,"Salbutamol, Budesonide","Vitamin D, Magnesium","Shakiness, Thrush"
Hypertension ,"Losartan, Hydrochlorothiazide","Potassium, CoQ10","Dizziness, Frequent urination"
Cervical spondylosis,"NSAIDs, Physiotherapy","Calcium, Vitamin D","Neck pain, Stiffness"
Paralysis (brain hemorrhage),"Anticoagulants, Rehabilitation",Vitamin B complex,"Weakness, Seizures"
Jaundice,"Cholestyramine, Fluids","Vitamin K, E","Yellowing, Itching"
Chicken pox,Acyclovir,"Vitamin C, Zinc","Rash, Itching"
Hepatitis A,Supportive care,"Vitamin B-complex, Hydration","Fatigue, Nausea"
Hepatitis C,"Sofosbuvir, Ribavirin","Milk thistle, Vitamin D","Fatigue, Anemia"
Hepatitis D,Peginterferon alfa,"Vitamin D, Antioxidants",Flu-like symptoms
Hepatitis E,Supportive care,"Zinc, Vitamin E","Nausea, Liver pain"
Alcoholic hepatitis,"Prednisolone, Abstinence","Vitamin B1 (thiamine), Zinc","Fatigue, Liver damage"
Common Cold,"Paracetamol, Antihistamines","Vitamin C, Zinc","Runny nose, Sore throat"
Dimorphic hemorrhoids (piles),"Topical steroids, Pain relief","Fiber, Witch hazel","Itching, Bleeding"
Heart attack,"Aspirin, Statins","CoQ10, Omega-3","Fatigue, Nausea"
Varicose veins,"Compression therapy, Surgery",Horse chestnut extract,"Swelling, Discomfort"
Hypoglycemia,"Glucose tablets, Dextrose","Complex carbs, Chromium","Sweating, Confusion"
Osteoarthritis,"NSAIDs, Glucosamine","Vitamin D, Omega-3","Joint pain, GI upset"
Arthritis,"Methotrexate, NSAIDs","Turmeric, Vitamin D","Liver toxicity, GI issues"
(vertigo) Paroxysmal Positional Vertigo,"Betahistine, Vestibular therapy",Gingko biloba,"Dizziness, Nausea"
Urinary tract infection,"Nitrofurantoin, Fosfomycin",Cranberry extract,Burning urination
Impetigo,"Mupirocin, Cephalexin","Vitamin C, Zinc","Skin irritation, Rash"
